round,NormalFL_loss,NormalFL_f1,NormalFL_recall,NormalFL_precision,NormalFL_roc_auc,SignFlip_Attack_loss,SignFlip_Attack_f1,SignFlip_Attack_recall,SignFlip_Attack_precision,SignFlip_Attack_roc_auc,SignFlip_Defense_loss,SignFlip_Defense_f1,SignFlip_Defense_recall,SignFlip_Defense_precision,SignFlip_Defense_roc_auc,LabelFlip_Attack_loss,LabelFlip_Attack_f1,LabelFlip_Attack_recall,LabelFlip_Attack_precision,LabelFlip_Attack_roc_auc,LabelFlip_Defense_loss,LabelFlip_Defense_f1,LabelFlip_Defense_recall,LabelFlip_Defense_precision,LabelFlip_Defense_roc_auc
0,0.7032,0.0901,0.542,0.0491,0.4947,0.7032,0.0901,0.542,0.0491,0.4947,0.7032,0.0901,0.542,0.0491,0.4947,0.7032,0.0901,0.542,0.0491,0.4947,0.7032,0.0901,0.542,0.0491,0.4947
1,0.6776,0.0829,0.3291,0.0474,0.4925,0.6949,0.0903,0.4679,0.05,0.4948,0.6676,0.0811,0.2657,0.0479,0.4929,0.5481,0.0039,0.002,0.1364,0.5043,0.5598,0.0,0.0,0.0,0.4956
2,0.6942,0.0895,0.4977,0.0492,0.4935,0.6959,0.0904,0.4653,0.0501,0.4955,0.6764,0.0876,0.3728,0.0496,0.5007,0.5167,0.0,0.0,0.0,0.5008,0.6617,0.0805,0.2505,0.048,0.5017
3,0.6889,0.0906,0.4884,0.05,0.4965,0.6859,0.0885,0.4171,0.0495,0.4946,0.6873,0.0914,0.4613,0.0507,0.5007,0.5099,0.0013,0.0007,0.25,0.5011,0.5516,0.0063,0.0033,0.0667,0.5029
4,0.6858,0.0912,0.4812,0.0504,0.4965,0.6781,0.0866,0.3886,0.0487,0.4932,0.67,0.0889,0.3952,0.0501,0.5006,0.5064,0.0026,0.0013,0.069,0.4996,0.4879,0.0,0.0,0.0,0.5013
5,0.678,0.0893,0.4455,0.0496,0.4963,0.6506,0.0842,0.3364,0.0481,0.4923,0.7025,0.0923,0.5321,0.0505,0.4981,0.5017,0.0064,0.0033,0.0833,0.4989,0.6461,0.0844,0.2842,0.0496,0.5007
6,0.6837,0.0896,0.4765,0.0495,0.4963,0.6326,0.0838,0.3126,0.0484,0.4918,0.6816,0.0888,0.4461,0.0493,0.4994,0.5043,0.0173,0.0099,0.0688,0.4984,0.5424,0.0211,0.0139,0.0439,0.5023
7,0.6939,0.0901,0.5188,0.0494,0.4956,0.6092,0.0847,0.2935,0.0495,0.4913,0.6965,0.0914,0.5142,0.0501,0.4982,0.5102,0.025,0.0165,0.0515,0.4968,0.6683,0.0879,0.388,0.0496,0.5
8,0.6848,0.0905,0.4924,0.0499,0.4967,0.5777,0.0826,0.2611,0.0491,0.4914,0.693,0.0911,0.503,0.0501,0.4991,0.5091,0.0373,0.0278,0.057,0.4973,0.563,0.0532,0.0621,0.0465,0.5015
9,0.6875,0.0906,0.4997,0.0498,0.4983,0.5442,0.0825,0.2346,0.05,0.4913,0.6871,0.091,0.4878,0.0502,0.5004,0.5073,0.0424,0.035,0.0536,0.4987,0.5045,0.0049,0.0026,0.0385,0.5028
10,0.6802,0.091,0.4838,0.0502,0.4994,0.5085,0.0829,0.2102,0.0517,0.492,0.6822,0.0917,0.4825,0.0506,0.5011,0.4991,0.0384,0.0311,0.0502,0.5003,0.6339,0.0836,0.2875,0.0489,0.5018
