round,rejected_clients,w1_update_norm,w1_grad_norm_before,w2_update_norm,w2_grad_norm_before,w3_update_norm,w3_grad_norm_before
1.0,,1.2988,1.2988,0.6297,0.6297,1.8177,1.8177
2.0,,1.2535,1.2535,0.6199,0.6199,2.1074,2.1074
3.0,,1.3236,1.3236,0.5876,0.5876,2.4711,2.4711
4.0,,1.423,1.423,0.6379,0.6379,2.8475,2.8475
5.0,,1.2536,1.2536,0.7049,0.7049,3.2581,3.2581
6.0,,1.2216,1.2216,0.673,0.673,3.7713,3.7713
7.0,,1.2791,1.2791,0.7795,0.7795,4.1499,4.1499
8.0,,1.3052,1.3052,0.8594,0.8594,4.5338,4.5338
9.0,,1.2869,1.2869,0.9162,0.9162,5.0449,5.0449
10.0,,1.2155,1.2155,0.9734,0.9734,5.3883,5.3883
11.0,,1.3179,1.3179,1.0077,1.0077,5.797,5.797
12.0,,1.3806,1.3806,1.1167,1.1167,6.1548,6.1548
13.0,,1.3133,1.3133,1.1557,1.1557,6.4983,6.4983
14.0,,1.1871,1.1871,1.2198,1.2198,6.7791,6.7791
15.0,,1.2046,1.2046,1.2976,1.2976,6.8906,6.8906
16.0,,1.1852,1.1852,1.3273,1.3273,7.0628,7.0628
17.0,,1.2342,1.2342,1.3486,1.3486,7.3446,7.3446
18.0,,1.282,1.282,1.4088,1.4088,7.2734,7.2734
19.0,,1.273,1.273,1.391,1.391,7.3213,7.3213
20.0,,1.2696,1.2696,1.4406,1.4406,7.3948,7.3948
