round,rejected_clients,w2_update_norm,w2_grad_norm_before,w3_update_norm,w3_grad_norm_before,w1_update_norm,w1_grad_norm_before
1.0,w3,0.6297,0.6297,1.8177,1.8177,1.2988,1.2988
2.0,w3,0.5554,0.5554,1.8112,1.8112,1.4002,1.4002
3.0,w3,0.5491,0.5491,1.8394,1.8394,1.3849,1.3849
4.0,w3,0.5885,0.5885,2.009,2.009,1.4133,1.4133
5.0,w3,0.526,0.526,1.9913,1.9913,1.2972,1.2972
6.0,w3,0.5522,0.5522,2.1731,2.1731,1.2152,1.2152
7.0,w3,0.5333,0.5333,2.1794,2.1794,1.2503,1.2503
8.0,w3,0.5572,0.5572,2.2377,2.2377,1.2415,1.2415
9.0,w3,0.6115,0.6115,2.3717,2.3717,1.2435,1.2435
10.0,w3,0.5523,0.5523,2.364,2.364,1.2536,1.2536
11.0,w3,0.5802,0.5802,2.4028,2.4028,1.309,1.309
12.0,w3,0.5949,0.5949,2.4028,2.4028,1.2258,1.2258
13.0,w3,0.564,0.564,2.4898,2.4898,1.3173,1.3173
14.0,w3,0.5505,0.5505,2.5103,2.5103,1.1889,1.1889
15.0,w3,0.5488,0.5488,2.5725,2.5725,1.2462,1.2462
16.0,w3,0.6109,0.6109,2.5958,2.5958,1.2118,1.2118
17.0,w3,0.6288,0.6288,2.5618,2.5618,1.3395,1.3395
18.0,w3,0.6019,0.6019,2.6243,2.6243,1.2662,1.2662
19.0,w3,0.5856,0.5856,2.6225,2.6225,1.3407,1.3407
20.0,w3,0.5918,0.5918,2.6842,2.6842,1.2488,1.2488
