round,rejected_clients,w1_update_norm,w1_grad_norm_before,w2_update_norm,w2_grad_norm_before,w3_update_norm,w3_grad_norm_before
1.0,,1.2988,1.2988,0.6545,0.6545,0.3722,0.3722
2.0,,1.2456,1.2456,0.6041,0.6041,0.3512,0.3512
3.0,,1.3818,1.3818,0.5758,0.5758,0.3563,0.3563
4.0,,1.2214,1.2214,0.5878,0.5878,0.373,0.373
5.0,,1.2468,1.2468,0.5591,0.5591,0.3545,0.3545
6.0,,1.4412,1.4412,0.5713,0.5713,0.3824,0.3824
7.0,,1.2399,1.2399,0.5727,0.5727,0.4036,0.4036
8.0,,1.2309,1.2309,0.6204,0.6204,0.405,0.405
9.0,,1.2331,1.2331,0.6513,0.6513,0.4247,0.4247
10.0,,1.1769,1.1769,0.622,0.622,0.4228,0.4228
11.0,,1.2859,1.2859,0.6263,0.6263,0.4159,0.4159
12.0,,1.2167,1.2167,0.6417,0.6417,0.4225,0.4225
13.0,,1.2415,1.2415,0.6079,0.6079,0.4328,0.4328
14.0,,1.3148,1.3148,0.6293,0.6293,0.4409,0.4409
15.0,,1.2411,1.2411,0.5963,0.5963,0.4508,0.4508
16.0,,1.1999,1.1999,0.6569,0.6569,0.4566,0.4566
17.0,,1.3227,1.3227,0.6708,0.6708,0.4442,0.4442
18.0,,1.2547,1.2547,0.6493,0.6493,0.4564,0.4564
19.0,,1.3052,1.3052,0.6376,0.6376,0.4513,0.4513
20.0,,1.3272,1.3272,0.6737,0.6737,0.4623,0.4623
