scenario,round,rejected_clients,was_rejected
Sign Flip Defended,1,w3,YES
Sign Flip Defended,2,w3,YES
Sign Flip Defended,3,w3,YES
Sign Flip Defended,4,w3,YES
Sign Flip Defended,5,w3,YES
Sign Flip Defended,6,w3,YES
Sign Flip Defended,7,w3,YES
Sign Flip Defended,8,w3,YES
Sign Flip Defended,9,w3,YES
Sign Flip Defended,10,w3,YES
Sign Flip Defended,11,w3,YES
Sign Flip Defended,12,w3,YES
Sign Flip Defended,13,w3,YES
Sign Flip Defended,14,w3,YES
Sign Flip Defended,15,w3,YES
Sign Flip Defended,16,w3,YES
Sign Flip Defended,17,w3,YES
Sign Flip Defended,18,w3,YES
Sign Flip Defended,19,w3,YES
Sign Flip Defended,20,w3,YES
Scale Defended,1,w3,YES
Scale Defended,2,w3,YES
Scale Defended,3,w3,YES
Scale Defended,4,w3,YES
Scale Defended,5,w3,YES
Scale Defended,6,w3,YES
Scale Defended,7,w3,YES
Scale Defended,8,w3,YES
Scale Defended,9,w1,YES
Scale Defended,10,w3,YES
Scale Defended,11,w3,YES
Scale Defended,12,w3,YES
Scale Defended,13,w1,YES
Scale Defended,14,w3,YES
Scale Defended,15,w3,YES
Scale Defended,16,w3,YES
Scale Defended,17,w3,YES
Scale Defended,18,w3,YES
Scale Defended,19,w1,YES
Scale Defended,20,w3,YES
Label Flip Defended,1,w1,YES
Label Flip Defended,2,w3,YES
Label Flip Defended,3,w1,YES
Label Flip Defended,4,w2,YES
Label Flip Defended,5,w3,YES
Label Flip Defended,6,w1,YES
Label Flip Defended,7,w3,YES
Label Flip Defended,8,w1,YES
Label Flip Defended,9,w1,YES
Label Flip Defended,10,w3,YES
Label Flip Defended,11,w1,YES
Label Flip Defended,12,w1,YES
Label Flip Defended,13,w3,YES
Label Flip Defended,14,w1,YES
Label Flip Defended,15,w1,YES
Label Flip Defended,16,w3,YES
Label Flip Defended,17,w1,YES
Label Flip Defended,18,w1,YES
Label Flip Defended,19,w3,YES
Label Flip Defended,20,w1,YES
