round,normal_fl_loss,normal_fl_f1,normal_fl_recall,normal_fl_precision,normal_fl_roc_auc,normal_fl_pr_auc,sign_flip_no_defense_loss,sign_flip_no_defense_f1,sign_flip_no_defense_recall,sign_flip_no_defense_precision,sign_flip_no_defense_roc_auc,sign_flip_no_defense_pr_auc,sign_flip_defended_loss,sign_flip_defended_f1,sign_flip_defended_recall,sign_flip_defended_precision,sign_flip_defended_roc_auc,sign_flip_defended_pr_auc,scale_no_defense_loss,scale_no_defense_f1,scale_no_defense_recall,scale_no_defense_precision,scale_no_defense_roc_auc,scale_no_defense_pr_auc,scale_defended_loss,scale_defended_f1,scale_defended_recall,scale_defended_precision,scale_defended_roc_auc,scale_defended_pr_auc,label_flip_no_defense_loss,label_flip_no_defense_f1,label_flip_no_defense_recall,label_flip_no_defense_precision,label_flip_no_defense_roc_auc,label_flip_no_defense_pr_auc,label_flip_defended_loss,label_flip_defended_f1,label_flip_defended_recall,label_flip_defended_precision,label_flip_defended_roc_auc,label_flip_defended_pr_auc
0,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506,0.7032,0.0901,0.542,0.0491,0.4947,0.0506
1,0.6776,0.0829,0.3291,0.0474,0.4925,0.0492,0.6949,0.0903,0.4679,0.05,0.4948,0.0497,0.6676,0.0811,0.2657,0.0479,0.4929,0.0492,0.6671,0.0897,0.3358,0.0518,0.505,0.0511,0.6721,0.0826,0.2981,0.0479,0.4911,0.0491,0.5481,0.0039,0.002,0.1364,0.5043,0.0507,0.5598,0.0,0.0,0.0,0.4956,0.0495
2,0.6942,0.0895,0.4977,0.0492,0.4935,0.0498,0.6959,0.0904,0.4653,0.0501,0.4955,0.0496,0.6764,0.0876,0.3728,0.0496,0.5007,0.0504,0.7055,0.0937,0.5605,0.0511,0.502,0.0503,0.681,0.089,0.4071,0.05,0.4984,0.0502,0.5167,0.0,0.0,0.0,0.5008,0.0507,0.6617,0.0805,0.2505,0.048,0.5017,0.0504
3,0.6889,0.0906,0.4884,0.05,0.4965,0.0502,0.6859,0.0885,0.4171,0.0495,0.4946,0.0496,0.6873,0.0914,0.4613,0.0507,0.5007,0.0505,0.6718,0.092,0.4111,0.0518,0.5014,0.0509,0.6895,0.0914,0.4785,0.0505,0.4989,0.0503,0.5099,0.0013,0.0007,0.25,0.5011,0.051,0.5516,0.0063,0.0033,0.0667,0.5029,0.0505
4,0.6858,0.0912,0.4812,0.0504,0.4965,0.0502,0.6781,0.0866,0.3886,0.0487,0.4932,0.0497,0.67,0.0889,0.3952,0.0501,0.5006,0.0508,0.7,0.0958,0.5539,0.0524,0.5013,0.0501,0.6769,0.0907,0.427,0.0508,0.4984,0.0502,0.5064,0.0026,0.0013,0.069,0.4996,0.0509,0.4879,0.0,0.0,0.0,0.5013,0.0503
5,0.678,0.0893,0.4455,0.0496,0.4963,0.0502,0.6506,0.0842,0.3364,0.0481,0.4923,0.0499,0.7025,0.0923,0.5321,0.0505,0.4981,0.0498,0.697,0.0931,0.54,0.051,0.5012,0.0508,0.7042,0.0909,0.5288,0.0497,0.4963,0.0494,0.5017,0.0064,0.0033,0.0833,0.4989,0.0511,0.6461,0.0844,0.2842,0.0496,0.5007,0.0499
6,0.6837,0.0896,0.4765,0.0495,0.4963,0.0503,0.6326,0.0838,0.3126,0.0484,0.4918,0.0499,0.6816,0.0888,0.4461,0.0493,0.4994,0.0506,0.6749,0.0894,0.4389,0.0498,0.4976,0.05,0.6787,0.0896,0.4402,0.0498,0.4969,0.0501,0.5043,0.0173,0.0099,0.0688,0.4984,0.0511,0.5424,0.0211,0.0139,0.0439,0.5023,0.0502
7,0.6939,0.0901,0.5188,0.0494,0.4956,0.05,0.6092,0.0847,0.2935,0.0495,0.4913,0.05,0.6965,0.0914,0.5142,0.0501,0.4982,0.0502,0.6995,0.0921,0.5393,0.0504,0.4979,0.0505,0.6874,0.0902,0.4726,0.0499,0.4967,0.0501,0.5102,0.025,0.0165,0.0515,0.4968,0.0508,0.6683,0.0879,0.388,0.0496,0.5,0.0502
8,0.6848,0.0905,0.4924,0.0499,0.4967,0.0502,0.5777,0.0826,0.2611,0.0491,0.4914,0.05,0.693,0.0911,0.503,0.0501,0.4991,0.0501,0.6718,0.0879,0.421,0.0491,0.4978,0.0502,0.6918,0.0906,0.4911,0.0499,0.4979,0.0503,0.5091,0.0373,0.0278,0.057,0.4973,0.051,0.563,0.0532,0.0621,0.0465,0.5015,0.0502
9,0.6875,0.0906,0.4997,0.0498,0.4983,0.0505,0.5442,0.0825,0.2346,0.05,0.4913,0.0501,0.6871,0.091,0.4878,0.0502,0.5004,0.0507,0.7098,0.0929,0.5677,0.0506,0.5009,0.0508,0.6989,0.092,0.5235,0.0504,0.503,0.0505,0.5073,0.0424,0.035,0.0536,0.4987,0.0509,0.5045,0.0049,0.0026,0.0385,0.5028,0.0501
10,0.6802,0.091,0.4838,0.0502,0.4994,0.0504,0.5085,0.0829,0.2102,0.0517,0.492,0.0502,0.6822,0.0917,0.4825,0.0506,0.5011,0.0506,0.6673,0.087,0.4005,0.0488,0.4994,0.0502,0.6838,0.092,0.4838,0.0509,0.5019,0.0507,0.4991,0.0384,0.0311,0.0502,0.5003,0.0511,0.6339,0.0836,0.2875,0.0489,0.5018,0.0506
11,0.6892,0.0904,0.5056,0.0496,0.4996,0.0504,0.484,0.0834,0.1923,0.0532,0.4927,0.0503,0.6816,0.0914,0.4831,0.0505,0.5013,0.0505,0.7181,0.0925,0.5942,0.0501,0.501,0.0507,0.6804,0.0899,0.4712,0.0497,0.4999,0.0502,0.5057,0.0517,0.0496,0.054,0.5011,0.0511,0.5427,0.0526,0.0588,0.0476,0.5001,0.05
12,0.682,0.0902,0.4878,0.0497,0.5007,0.0503,0.4724,0.0824,0.1778,0.0536,0.4932,0.0504,0.6856,0.0929,0.5043,0.0512,0.5038,0.0505,0.6577,0.0871,0.3748,0.0493,0.5006,0.0503,0.6873,0.0931,0.5122,0.0512,0.5021,0.0503,0.505,0.0479,0.0463,0.0497,0.5018,0.051,0.504,0.0238,0.0159,0.0478,0.5018,0.0501
13,0.6782,0.0906,0.4798,0.0501,0.4987,0.0501,0.4659,0.0801,0.1633,0.0531,0.4939,0.0505,0.6764,0.0926,0.4825,0.0512,0.5043,0.0509,0.7084,0.0932,0.5737,0.0507,0.5015,0.0508,0.6845,0.0919,0.4858,0.0507,0.5034,0.0507,0.5017,0.0495,0.0489,0.0501,0.5018,0.0509,0.6361,0.0845,0.3153,0.0488,0.5013,0.0501
