round,normal_fl_loss,normal_fl_f1,normal_fl_recall,normal_fl_precision,normal_fl_roc_auc,normal_fl_pr_auc,sign_flip_no_defense_loss,sign_flip_no_defense_f1,sign_flip_no_defense_recall,sign_flip_no_defense_precision,sign_flip_no_defense_roc_auc,sign_flip_no_defense_pr_auc,sign_flip_defended_loss,sign_flip_defended_f1,sign_flip_defended_recall,sign_flip_defended_precision,sign_flip_defended_roc_auc,sign_flip_defended_pr_auc,scale_no_defense_loss,scale_no_defense_f1,scale_no_defense_recall,scale_no_defense_precision,scale_no_defense_roc_auc,scale_no_defense_pr_auc,scale_defended_loss,scale_defended_f1,scale_defended_recall,scale_defended_precision,scale_defended_roc_auc,scale_defended_pr_auc,label_flip_no_defense_loss,label_flip_no_defense_f1,label_flip_no_defense_recall,label_flip_no_defense_precision,label_flip_no_defense_roc_auc,label_flip_no_defense_pr_auc,label_flip_defended_loss,label_flip_defended_f1,label_flip_defended_recall,label_flip_defended_precision,label_flip_defended_roc_auc,label_flip_defended_pr_auc
0,0.765419779497884,0.0040758891746324,0.5675675675675675,0.002045288531775,0.5971275862243786,0.0343042351983213,0.6674236642648556,0.0009597586892438,0.0945945945945946,0.0004823261903121,0.1384609144879263,0.0009728003631207,0.796898119336209,0.0040936071501671,0.8108108108108109,0.0020519835841313,0.7325101902690535,0.294323406355941,0.7989340339776606,0.0047624717228241,0.8108108108108109,0.0023882498109302,0.7995739478927435,0.2022188228464141,0.7737717169888803,0.0053994835276625,0.9324324324324323,0.0027075812274368,0.9142862438972456,0.3348789418036926,0.7724542505005759,0.0048341195275038,0.8378378378378378,0.0024240528599913,0.7920790620389664,0.1600918942303664,0.6637400713033026,0.0008198161269543,0.0945945945945946,0.0004116920543433,0.1321620227430582,0.0009752688005569
1,0.6542502565161874,0.008448,0.8918918918918919,0.004244100057874,0.9077736290032294,0.537762187684445,0.6611945578256258,0.0005437368313736,0.054054054054054,0.0002732427078352,0.1061068102429948,0.0009182381426725,0.6721117598108454,0.0065820903444981,0.8378378378378378,0.0033040234479083,0.8822751423342308,0.6905874007076012,0.5693645151585124,0.0148198046480296,0.8918918918918919,0.0074719800747198,0.9152924379078008,0.7384680444816545,0.5886169941967578,0.012312427856868,0.8648648648648649,0.0062003487696182,0.917150514329749,0.7049684236436266,0.6404358010122653,0.0089698475125922,0.8783783783783784,0.0045079409112975,0.8868487226675185,0.5913758488665065,0.6426952475636908,0.008328528413095,0.8783783783783784,0.00418410041841,0.8981410363655721,0.2992734411663247
2,0.5017758368388202,0.0319410319410319,0.8783783783783784,0.0162662662662662,0.924374483515592,0.7233148593561602,0.6601785224319112,0.0005397018147473,0.054054054054054,0.0002712048274459,0.0915010747945469,0.0009072370723776,0.5319826617832007,0.028206850235057,0.8513513513513513,0.0143409970407466,0.914711313733542,0.7378075762076727,0.3926999103001271,0.0708356391809629,0.8648648648648649,0.0369301788805539,0.9352366575917505,0.7270549985085916,0.4485020818019118,0.0590440487347703,0.8513513513513513,0.0305825242718446,0.9192991528388264,0.7582261336741526,0.5062980344783916,0.058287795992714,0.8648648648648649,0.0301602262016965,0.9044275705080432,0.7332781747986354,0.5195052258865721,0.0241327300150829,0.8648648648648649,0.0122370936902485,0.92430160534761,0.66233685662536
3,0.4099262251160828,0.076463560334528,0.8648648648648649,0.04,0.9357211389780328,0.7436509842083443,0.6558561698880179,0.0005415284640898,0.054054054054054,0.0002721273556024,0.0805718844900049,0.0009008685617847,0.4378876188955937,0.0808210391276459,0.8513513513513513,0.0424242424242424,0.9201309145386244,0.7520631780249167,0.2971291396193311,0.1205273069679849,0.8648648648648649,0.0647773279352226,0.945912675477954,0.7195187431470444,0.371023960512026,0.1045643153526971,0.8513513513513513,0.0557029177718832,0.921644562401456,0.7607360618679203,0.4178546285384976,0.1518072289156626,0.8513513513513513,0.0833333333333333,0.9163558254371422,0.7517428307227263,0.421493934374166,0.0703683342495876,0.8648648648648649,0.0366762177650429,0.9286725526877468,0.7263275551141404
4,0.3313592487052013,0.1147982062780269,0.8648648648648649,0.0614793467819404,0.9386733385045144,0.7154601646216766,0.6509471174926459,0.0004127115146512,0.0405405405405405,0.0002074115044247,0.0746776250082384,0.0008975531859748,0.3498731882057713,0.1349036402569593,0.8513513513513513,0.0732558139534883,0.92257375904323,0.7336170655234239,0.2296177827959635,0.1409395973154362,0.8513513513513513,0.0768292682926829,0.9493398505427204,0.7202985138380628,0.2993279020149721,0.1505376344086021,0.8513513513513513,0.0825688073394495,0.9233274143586468,0.7375844984279991,0.3393647471115358,0.2153846153846154,0.8513513513513513,0.1232876712328767,0.9224186552900678,0.749793629246094,0.3315371847589068,0.119431279620853,0.8513513513513513,0.0642201834862385,0.9309935639071824,0.7480847983991423
5,0.2879712929063415,0.1356297093649085,0.8513513513513513,0.0736842105263157,0.9379711731990854,0.7197115080267888,0.6387852089138965,0.0004339336081579,0.0405405405405405,0.0002181342252599,0.0712365080330752,0.0008966336240085,0.2980447891730128,0.1764705882352941,0.8513513513513513,0.0984375,0.9222581648897068,0.736197756427985,0.1977304425451756,0.1422121896162528,0.8513513513513513,0.0775862068965517,0.9528953545554558,0.7183094275950413,0.2597562944142257,0.2048780487804878,0.8513513513513513,0.1164510166358595,0.925855019341232,0.7388034187994456,0.2922804670776,0.271551724137931,0.8513513513513513,0.1615384615384615,0.9262159247035444,0.7530806467395358,0.2829154805223128,0.1657894736842105,0.8513513513513513,0.0918367346938775,0.9304465023549154,0.7434343657851259
6,0.253304279053681,0.1733149931224209,0.8513513513513513,0.0964777947932618,0.9376844134511552,0.7224290394473457,0.6320581821136733,0.0004410467509556,0.0405405405405405,0.0002217294900221,0.0645851077582929,0.0008946597589145,0.2630125084237543,0.2206654991243432,0.8513513513513513,0.1267605633802817,0.9224855130876516,0.7396611210955047,0.1700600885548707,0.2035541195476575,0.8513513513513513,0.1155963302752293,0.9528532119626664,0.7241098658922261,0.2315745901003381,0.2535211267605634,0.8513513513513513,0.1489361702127659,0.9252346043285832,0.7249774016353918,0.2539473700468083,0.4092409240924092,0.8378378378378378,0.2707423580786026,0.9294954422627468,0.7546517569841746,0.2498093488540932,0.2065573770491803,0.8513513513513513,0.1175373134328358,0.9291418247172328,0.7245978838372299
7,0.2286818193822485,0.2128378378378378,0.8513513513513513,0.1216216216216216,0.9382214938630248,0.7233748805649033,0.6264735122786772,0.0004405609809824,0.0405405405405405,0.0002214839424141,0.068314093496986,0.000895895720582,0.2376113051023916,0.2757111597374179,0.8513513513513513,0.1644908616187989,0.9254500702165308,0.7229494380004918,0.1573527380638369,0.1974921630094044,0.8513513513513513,0.1117021276595744,0.955320454810466,0.7273381332898764,0.2113555439424101,0.2806236080178174,0.8513513513513513,0.168,0.9271354570665208,0.7248514228688051,0.2254029814324601,0.5232067510548524,0.8378378378378378,0.3803680981595092,0.9319314742429544,0.7547293154057962,0.2262708715967493,0.2597938144329897,0.8513513513513513,0.1532846715328467,0.9303677622473344,0.7243261170161865
8,0.2153322028625689,0.1996830427892234,0.8513513513513513,0.1131059245960502,0.9375091889863978,0.7218715910266112,0.6264898336277198,0.00043020004302,0.0405405405405405,0.0002162473870107,0.0710105857123302,0.0008964417898797,0.2267543250573089,0.2490118577075099,0.8513513513513513,0.1458333333333333,0.9259114207060184,0.7234147582122716,0.1548097227243308,0.1586901763224181,0.8513513513513513,0.0875,0.9581596931765756,0.7225724400195758,0.2041802705019163,0.2608695652173913,0.8513513513513513,0.1540342298288508,0.926447867394688,0.726869669547363,0.2068320796964394,0.5662100456621004,0.8378378378378378,0.4275862068965517,0.9328982189843192,0.7456531151896523,0.2167346699019896,0.2395437262357414,0.8513513513513513,0.1393805309734513,0.929091443722845,0.7242172949039017
9,0.1956947445049253,0.2107023411371237,0.8513513513513513,0.1202290076335877,0.9363339493122836,0.721177553540933,0.6201636920357747,0.0004375091147732,0.0405405405405405,0.0002199413489736,0.0739291979092204,0.0008975597322225,0.2045518307712354,0.267515923566879,0.8513513513513513,0.1586901763224181,0.926669036791434,0.7239471010603648,0.1393389754004872,0.1705006765899864,0.8513513513513513,0.0947368421052631,0.9564987046697796,0.7202867812125955,0.1858367313023148,0.2698072805139186,0.8513513513513513,0.1603053435114503,0.92689179049618,0.7272541464269356,0.1881176165715685,0.5961538461538461,0.8378378378378378,0.4626865671641791,0.9326735641099738,0.7424263163132239,0.196035567835379,0.2571428571428571,0.8513513513513513,0.1514423076923076,0.928807694160114,0.7228511624937649
10,0.1808271701963005,0.225,0.8513513513513513,0.1296296296296296,0.93445654433274,0.7210886218883524,0.6155294225144803,0.000594265339474,0.054054054054054,0.0002987750224081,0.080102612460519,0.0009004066828206,0.1892039301210848,0.2652631578947368,0.8513513513513513,0.1571072319201995,0.9260717526755792,0.7238500977787229,0.1308563863367857,0.1779661016949152,0.8513513513513513,0.0993690851735015,0.95370081674246,0.7210596521472106,0.1734377981805546,0.266384778012685,0.8513513513513513,0.1578947368421052,0.9263258756787176,0.7262235761381509,0.1715109976532284,0.6458333333333334,0.8378378378378378,0.5254237288135594,0.9320718439317202,0.7426565107574197,0.1818032208547,0.2576687116564417,0.8513513513513513,0.1518072289156626,0.9278975092143352,0.7233834953908209
