round,num_clients,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_agg_score,w3_selected,w2_agg_score,w2_selected,w1_agg_score,w1_selected,rejected_clients
1.0,3.0,0.4433149491961383,0.4433149491961383,0.4433149491961383,0.4433149491961383,1.0,0.01,0.01,1.0,5.0,0.3112195185688119,0.3112195185688119,0.3112195185688119,0.3112195185688119,1.0,0.01,0.01,0.0,0.0,0.29779296532133537,0.29779296532133537,0.29779296532133537,0.29779296532133537,1.0,0.01,0.01,0.0,0.0,0.20004114508628845,0.0,0.020900173112750053,1.0,0.020900173112750053,1.0,w3
2.0,3.0,0.4505997948733488,0.4505997948733488,0.4505997948733488,0.4505997948733488,1.0,0.01,0.01,1.0,5.0,0.35062506518473846,0.35062506518473846,0.35062506518473846,0.35062506518473846,1.0,0.01,0.01,0.0,0.0,0.4074135037930966,0.4074135037930966,0.4074135037930966,0.4074135037930966,1.0,0.01,0.01,0.0,0.0,0.23338015377521515,0.0,0.025096725672483444,1.0,0.025096725672483444,1.0,w3
3.0,3.0,0.49150717355425494,0.49150717355425494,0.49150717355425494,0.49150717355425494,1.0,0.01,0.01,1.0,5.0,0.29547818243987123,0.29547818243987123,0.29547818243987123,0.29547818243987123,1.0,0.01,0.01,0.0,0.0,0.36890609294463084,0.36890609294463084,0.36890609294463084,0.36890609294463084,1.0,0.01,0.01,0.0,0.0,0.25500059127807617,0.0,0.04415818303823471,1.0,0.04415818303823471,1.0,w3
4.0,3.0,0.5095047337950412,0.5095047337950412,0.5095047337950412,0.5095047337950412,1.0,0.01,0.01,1.0,5.0,0.22897949983397695,0.22897949983397695,0.22897949983397695,0.22897949983397695,1.0,0.01,0.01,0.0,0.0,0.43809926764879353,0.43809926764879353,0.43809926764879353,0.43809926764879353,1.0,0.01,0.01,0.0,0.0,0.2678989768028259,0.0,0.0839831680059433,1.0,0.0839831680059433,1.0,w3
5.0,3.0,0.5174880903135929,0.5174880903135929,0.5174880903135929,0.5174880903135929,1.0,0.01,0.01,1.0,5.0,0.17449156191670814,0.17449156191670814,0.17449156191670814,0.17449156191670814,1.0,0.01,0.01,0.0,0.0,0.2239861695138225,0.2239861695138225,0.2239861695138225,0.2239861695138225,1.0,0.01,0.01,0.0,0.0,0.21580784022808075,0.0,0.026494501158595085,1.0,0.026494501158595085,1.0,w3
6.0,3.0,0.5495207546339311,0.5495207546339311,0.5495207546339311,0.5495207546339311,1.0,0.01,0.01,1.0,5.0,0.16099049033747967,0.16099049033747967,0.16099049033747967,0.16099049033747967,1.0,0.01,0.01,0.0,0.0,0.22127491803935434,0.22127491803935434,0.22127491803935434,0.22127491803935434,1.0,0.01,0.01,0.0,0.0,0.2511814832687378,0.0,0.047999124974012375,1.0,0.047999124974012375,1.0,w3
7.0,3.0,0.5593603249441661,0.5593603249441661,0.5593603249441661,0.5593603249441661,1.0,0.01,0.01,1.0,5.0,0.14412610515872162,0.14412610515872162,0.14412610515872162,0.14412610515872162,1.0,0.01,0.01,0.0,0.0,0.16462592042239882,0.16462592042239882,0.16462592042239882,0.16462592042239882,1.0,0.01,0.01,0.0,0.0,0.2797752916812897,0.0,0.03630725294351578,1.0,0.03630725294351578,1.0,w3
8.0,3.0,0.5669951370167796,0.5669951370167796,0.5669951370167796,0.5669951370167796,1.0,0.01,0.01,1.0,5.0,0.1295615845277327,0.1295615845277327,0.1295615845277327,0.1295615845277327,1.0,0.01,0.01,0.0,0.0,0.10995563122462687,0.10995563122462687,0.10995563122462687,0.10995563122462687,1.0,0.01,0.01,0.0,0.0,0.2937283217906952,0.0,0.030965235084295273,1.0,0.030965235084295273,1.0,w3
9.0,3.0,0.5292965934724516,0.5292965934724516,0.5292965934724516,0.5292965934724516,1.0,0.01,0.01,1.0,5.0,0.1274051541619779,0.1274051541619779,0.1274051541619779,0.1274051541619779,1.0,0.01,0.01,0.0,0.0,0.17057650215928066,0.17057650215928066,0.17057650215928066,0.17057650215928066,1.0,0.01,0.01,0.0,0.0,0.2463379204273224,0.0,0.037490054965019226,1.0,0.037490054965019226,1.0,w3
10.0,3.0,0.54649725538212,0.54649725538212,0.54649725538212,0.54649725538212,1.0,0.01,0.01,1.0,5.0,0.10141125522290037,0.10141125522290037,0.10141125522290037,0.10141125522290037,1.0,0.01,0.01,0.0,0.0,0.1751998558433448,0.1751998558433448,0.1751998558433448,0.1751998558433448,1.0,0.01,0.01,0.0,0.0,0.2591286599636078,0.0,0.04307502508163452,1.0,0.04307502508163452,1.0,w3
