round,num_clients,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_agg_score,w3_selected,w2_agg_score,w2_selected,w1_agg_score,w1_selected,rejected_clients
1.0,3.0,1.6293275503281222,1.000000059604643,1.6293275503281222,1.000000059604643,1.0,0.01,0.01,1.0,5.0,0.37869806567819464,0.37869806567819464,0.37869806567819464,0.37869806567819464,1.0,0.01,0.01,0.0,0.0,0.5235173748051443,0.5235173748051443,0.5235173748051443,0.5235173748051443,1.0,0.01,0.01,0.0,0.0,0.3201751112937927,0.0,0.047121766954660416,1.0,0.047121766954660416,1.0,w3
2.0,3.0,1.470324017827226,1.0,1.470324017827226,1.0,1.0,0.01,0.01,1.0,5.0,0.33276236205707344,0.33276236205707344,0.33276236205707344,0.33276236205707344,1.0,0.01,0.01,0.0,0.0,0.4960272286338069,0.4960272286338069,0.4960272286338069,0.4960272286338069,1.0,0.01,0.01,0.0,0.0,0.43349242210388184,0.0,0.054919712245464325,1.0,0.054919712245464325,1.0,w3
3.0,3.0,1.1384831136298061,1.000000029802322,1.1384831136298061,1.000000029802322,1.0,0.01,0.01,1.0,5.0,0.23624672551888143,0.23624672551888143,0.23624672551888143,0.23624672551888143,1.0,0.01,0.01,0.0,0.0,0.3190368219722853,0.3190368219722853,0.3190368219722853,0.3190368219722853,1.0,0.01,0.01,0.0,0.0,0.5867593288421631,0.0,0.054976023733615875,1.0,0.054976023733615875,1.0,w3
4.0,3.0,1.0243014845614524,0.9999999850988387,1.0243014845614524,0.9999999850988387,1.0,0.01,0.01,1.0,5.0,0.19363692862387782,0.19363692862387782,0.19363692862387782,0.19363692862387782,1.0,0.01,0.01,0.0,0.0,0.3766601244031612,0.3766601244031612,0.3766601244031612,0.3766601244031612,1.0,0.01,0.01,0.0,0.0,0.53810715675354,0.0,0.0734516978263855,1.0,0.0734516978263855,1.0,w3
5.0,3.0,1.0289281803652808,1.0000000149011612,1.0289281803652808,1.0000000149011612,1.0,0.01,0.01,1.0,5.0,0.15489638931687277,0.15489638931687277,0.15489638931687277,0.15489638931687277,1.0,0.01,0.01,0.0,0.0,0.19832337882568146,0.19832337882568146,0.19832337882568146,0.19832337882568146,1.0,0.01,0.01,0.0,0.0,0.8280205726623535,0.0,0.027128715068101883,1.0,0.027128715068101883,1.0,w3
6.0,3.0,0.8073825057000211,0.8073825057000211,0.8073825057000211,0.8073825057000211,1.0,0.01,0.01,1.0,5.0,0.14742863219118316,0.14742863219118316,0.14742863219118316,0.14742863219118316,1.0,0.01,0.01,0.0,0.0,0.20882860510471582,0.20882860510471582,0.20882860510471582,0.20882860510471582,1.0,0.01,0.01,0.0,0.0,0.5474032163619995,0.0,0.04832861199975014,1.0,0.04832861199975014,1.0,w3
7.0,3.0,0.7896543775736525,0.7896543775736525,0.7896543775736525,0.7896543775736525,1.0,0.01,0.01,1.0,5.0,0.1312022024212858,0.1312022024212858,0.1312022024212858,0.1312022024212858,1.0,0.01,0.01,0.0,0.0,0.15803285843492876,0.15803285843492876,0.15803285843492876,0.15803285843492876,1.0,0.01,0.01,0.0,0.0,0.5710991024971008,0.0,0.03633565828204155,1.0,0.03633565828204155,1.0,w3
8.0,3.0,0.7540588520940386,0.7540588520940386,0.7540588520940386,0.7540588520940386,1.0,0.01,0.01,1.0,5.0,0.12621114849620763,0.12621114849620763,0.12621114849620763,0.12621114849620763,1.0,0.01,0.01,0.0,0.0,0.10416560855467148,0.10416560855467148,0.10416560855467148,0.10416560855467148,1.0,0.01,0.01,0.0,0.0,0.5467429757118225,0.0,0.03154619410634041,1.0,0.03154619410634041,1.0,w3
9.0,3.0,0.8109665393223725,0.8109665393223725,0.8109665393223725,0.8109665393223725,1.0,0.01,0.01,1.0,5.0,0.12417589039020602,0.12417589039020602,0.12417589039020602,0.12417589039020602,1.0,0.01,0.01,0.0,0.0,0.16453122268940987,0.16453122268940987,0.16453122268940987,0.16453122268940987,1.0,0.01,0.01,0.0,0.0,0.5939739942550659,0.0,0.038194265216588974,1.0,0.038194265216588974,1.0,w3
10.0,3.0,0.6765991041355632,0.6765991041355632,0.6765991041355632,0.6765991041355632,1.0,0.01,0.01,1.0,5.0,0.09723293705975347,0.09723293705975347,0.09723293705975347,0.09723293705975347,1.0,0.01,0.01,0.0,0.0,0.17048125437077005,0.17048125437077005,0.17048125437077005,0.17048125437077005,1.0,0.01,0.01,0.0,0.0,0.4378238618373871,0.0,0.04338598996400833,1.0,0.04338598996400833,1.0,w3
