round,num_clients,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_agg_score,w1_selected,w3_agg_score,w3_selected,w2_agg_score,w2_selected,rejected_clients
1.0,3.0,0.43691647306825165,0.43691647306825165,0.43691647306825165,0.43691647306825165,0.0,0.0,0.0,0.0,0.0,1.6107862266458468,1.6107862266458468,1.6107862266458468,1.6107862266458468,0.0,0.0,0.0,1.0,5.0,0.36615324964740387,0.36615324964740387,0.36615324964740387,0.36615324964740387,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
2.0,3.0,0.4760931314477511,0.4760931314477511,0.4760931314477511,0.4760931314477511,0.0,0.0,0.0,0.0,0.0,1.3981951071939922,1.3981951071939922,1.3981951071939922,1.3981951071939922,0.0,0.0,0.0,1.0,5.0,0.30169251423701776,0.30169251423701776,0.30169251423701776,0.30169251423701776,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
3.0,3.0,0.2946500536062502,0.2946500536062502,0.2946500536062502,0.2946500536062502,0.0,0.0,0.0,0.0,0.0,0.9879870146354632,0.9879870146354632,0.9879870146354632,0.9879870146354632,0.0,0.0,0.0,1.0,5.0,0.2005051471511501,0.2005051471511501,0.2005051471511501,0.2005051471511501,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
4.0,3.0,0.3482266151425273,0.3482266151425273,0.3482266151425273,0.3482266151425273,0.0,0.0,0.0,0.0,0.0,0.8295975763904674,0.8295975763904674,0.8295975763904674,0.8295975763904674,0.0,0.0,0.0,1.0,5.0,0.1522575281142392,0.1522575281142392,0.1522575281142392,0.1522575281142392,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
5.0,3.0,0.18491447997204222,0.18491447997204222,0.18491447997204222,0.18491447997204222,0.0,0.0,0.0,0.0,0.0,0.7804378866178072,0.7804378866178072,0.7804378866178072,0.7804378866178072,0.0,0.0,0.0,1.0,5.0,0.13104044428941575,0.13104044428941575,0.13104044428941575,0.13104044428941575,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
6.0,3.0,0.22528904620833048,0.22528904620833048,0.22528904620833048,0.22528904620833048,0.0,0.0,0.0,0.0,0.0,0.5030030280405063,0.5030030280405063,0.5030030280405063,0.5030030280405063,0.0,0.0,0.0,1.0,5.0,0.1307413481684545,0.1307413481684545,0.1307413481684545,0.1307413481684545,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
7.0,3.0,0.14714699603965364,0.14714699603965364,0.14714699603965364,0.14714699603965364,0.0,0.0,0.0,0.0,0.0,0.56627629861119,0.56627629861119,0.56627629861119,0.56627629861119,0.0,0.0,0.0,1.0,5.0,0.13159740556360533,0.13159740556360533,0.13159740556360533,0.13159740556360533,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
8.0,3.0,0.10259300811074061,0.10259300811074061,0.10259300811074061,0.10259300811074061,0.0,0.0,0.0,0.0,0.0,0.5500782443602987,0.5500782443602987,0.5500782443602987,0.5500782443602987,0.0,0.0,0.0,1.0,5.0,0.11968642647390328,0.11968642647390328,0.11968642647390328,0.11968642647390328,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
9.0,3.0,0.19649592454763193,0.19649592454763193,0.19649592454763193,0.19649592454763193,0.0,0.0,0.0,0.0,0.0,0.48232147778297785,0.48232147778297785,0.48232147778297785,0.48232147778297785,0.0,0.0,0.0,1.0,5.0,0.1621012154214688,0.1621012154214688,0.1621012154214688,0.1621012154214688,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
10.0,3.0,0.2058530200288604,0.2058530200288604,0.2058530200288604,0.2058530200288604,0.0,0.0,0.0,0.0,0.0,0.4503749666858495,0.4503749666858495,0.4503749666858495,0.4503749666858495,0.0,0.0,0.0,1.0,5.0,0.11813224263558646,0.11813224263558646,0.11813224263558646,0.11813224263558646,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
11.0,3.0,0.2797701966445609,0.2797701966445609,0.2797701966445609,0.2797701966445609,0.0,0.0,0.0,0.0,0.0,0.4508871226463712,0.4508871226463712,0.4508871226463712,0.4508871226463712,0.0,0.0,0.0,1.0,5.0,0.1069114335972536,0.1069114335972536,0.1069114335972536,0.1069114335972536,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
12.0,3.0,0.2341918269264933,0.2341918269264933,0.2341918269264933,0.2341918269264933,0.0,0.0,0.0,0.0,0.0,0.497457941448414,0.497457941448414,0.497457941448414,0.497457941448414,0.0,0.0,0.0,1.0,5.0,0.11388262442897697,0.11388262442897697,0.11388262442897697,0.11388262442897697,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
13.0,3.0,0.13948447432086614,0.13948447432086614,0.13948447432086614,0.13948447432086614,0.0,0.0,0.0,0.0,0.0,0.38122760626813035,0.38122760626813035,0.38122760626813035,0.38122760626813035,0.0,0.0,0.0,1.0,5.0,0.15889623334469888,0.15889623334469888,0.15889623334469888,0.15889623334469888,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
14.0,3.0,0.1638332991176361,0.1638332991176361,0.1638332991176361,0.1638332991176361,0.0,0.0,0.0,0.0,0.0,0.4792519698116656,0.4792519698116656,0.4792519698116656,0.4792519698116656,0.0,0.0,0.0,1.0,5.0,0.13923700118282462,0.13923700118282462,0.13923700118282462,0.13923700118282462,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
15.0,3.0,0.15356901598702935,0.15356901598702935,0.15356901598702935,0.15356901598702935,0.0,0.0,0.0,0.0,0.0,0.38839605618822226,0.38839605618822226,0.38839605618822226,0.38839605618822226,0.0,0.0,0.0,1.0,5.0,0.13395351554872867,0.13395351554872867,0.13395351554872867,0.13395351554872867,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
16.0,3.0,0.26610283437398996,0.26610283437398996,0.26610283437398996,0.26610283437398996,0.0,0.0,0.0,0.0,0.0,0.3615287648987808,0.3615287648987808,0.3615287648987808,0.3615287648987808,0.0,0.0,0.0,1.0,5.0,0.12302686217740365,0.12302686217740365,0.12302686217740365,0.12302686217740365,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
17.0,3.0,0.2311831651581841,0.2311831651581841,0.2311831651581841,0.2311831651581841,0.0,0.0,0.0,0.0,0.0,0.5002663308635416,0.5002663308635416,0.5002663308635416,0.5002663308635416,0.0,0.0,0.0,1.0,5.0,0.10049390582767816,0.10049390582767816,0.10049390582767816,0.10049390582767816,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
18.0,3.0,0.21089987949161695,0.21089987949161695,0.21089987949161695,0.21089987949161695,0.0,0.0,0.0,0.0,0.0,0.4245142130290881,0.4245142130290881,0.4245142130290881,0.4245142130290881,0.0,0.0,0.0,1.0,5.0,0.0941582909690403,0.0941582909690403,0.0941582909690403,0.0941582909690403,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
19.0,3.0,0.13917742839503314,0.13917742839503314,0.13917742839503314,0.13917742839503314,0.0,0.0,0.0,0.0,0.0,0.4277993135495974,0.4277993135495974,0.4277993135495974,0.4277993135495974,0.0,0.0,0.0,1.0,5.0,0.1062621336295254,0.1062621336295254,0.1062621336295254,0.1062621336295254,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
20.0,3.0,0.31098674115899083,0.31098674115899083,0.31098674115899083,0.31098674115899083,0.0,0.0,0.0,0.0,0.0,0.4576749457521113,0.4576749457521113,0.4576749457521113,0.4576749457521113,0.0,0.0,0.0,1.0,5.0,0.1127449245279005,0.1127449245279005,0.1127449245279005,0.1127449245279005,0.0,0.0,0.0,0.0,0.0,0.44948010716519726,1.0,0.20060427952649035,1.0,0.3499156133083124,1.0,
