round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.7724542505005759,0.4024858386779645,0.004834119527503801,0.8378378378378378,0.0024240528599913987,0.7920790620389664,0.16009189423036643
1,0.6404358010122653,0.6638031927344226,0.008969847512592286,0.8783783783783784,0.004507940911297593,0.8868487226675185,0.5913758488665065
2,0.5062980344783916,0.9515940264968868,0.058287795992714025,0.8648648648648649,0.030160226201696512,0.9044275705080433,0.7332781747986354
3,0.41785462853849764,0.9835213707223445,0.15180722891566265,0.8513513513513513,0.08333333333333333,0.9163558254371422,0.7517428307227263
4,0.3393647471115358,0.9892561209681194,0.2153846153846154,0.8513513513513513,0.1232876712328767,0.9224186552900678,0.749793629246094
5,0.2922804670776,0.9920883853752165,0.27155172413793105,0.8513513513513513,0.16153846153846155,0.9262159247035443,0.7530806467395358
6,0.2539473700468083,0.9958101212490051,0.40924092409240925,0.8378378378378378,0.27074235807860264,0.9294954422627468,0.7546517569841746
7,0.22540298143246013,0.9973549927437854,0.5232067510548524,0.8378378378378378,0.3803680981595092,0.9319314742429543,0.7547293154057962
8,0.20683207969643946,0.9977763213332709,0.5662100456621004,0.8378378378378378,0.42758620689655175,0.9328982189843191,0.7456531151896523
9,0.18811761657156856,0.9980337999157343,0.5961538461538461,0.8378378378378378,0.4626865671641791,0.9326735641099738,0.7424263163132239
10,0.17151099765322847,0.9984083142174992,0.6458333333333334,0.8378378378378378,0.5254237288135594,0.9320718439317202,0.7426565107574197
11,0.1555028235301344,0.9988062356631244,0.7085714285714285,0.8378378378378378,0.6138613861386139,0.9337648354601082,0.7432961175270608
12,0.1428506806595724,0.9986423856561022,0.6813186813186813,0.8378378378378378,0.5740740740740741,0.9306953971416548,0.741826987455931
13,0.13041989980063048,0.9989700856701466,0.7380952380952381,0.8378378378378378,0.6595744680851063,0.934021334925246,0.7410644141098078
14,0.1232124278948056,0.9985253499368008,0.6631016042780749,0.8378378378378378,0.5486725663716814,0.933203356705045,0.7348288369570484
15,0.11740637978403026,0.9982678713543374,0.6262626262626263,0.8378378378378378,0.5,0.934420738971949,0.7287881413527412
16,0.1097650498886503,0.9985955713683816,0.6739130434782609,0.8378378378378378,0.5636363636363636,0.9335645789289572,0.7285341981262848
17,0.10302632862418863,0.9985019427929404,0.6595744680851063,0.8378378378378378,0.543859649122807,0.9349407088574224,0.7226603991206286
18,0.0966268445685169,0.998782828519264,0.7045454545454546,0.8378378378378378,0.6078431372549019,0.9382471596526183,0.7256160340592664
19,0.0924330723863021,0.9987594213754037,0.7005649717514124,0.8378378378378378,0.6019417475728155,0.9405951041080474,0.7271010285271815
20,0.08543919411215478,0.9990871213894481,0.7607361963190185,0.8378378378378378,0.6966292134831461,0.9399567864150025,0.7289129516625135
