round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.765419779497884,0.519568372267216,0.004075889174632442,0.5675675675675675,0.0020452885317750183,0.5971275862243786,0.03430423519832133
1,0.515239623585516,0.9994148214034924,0.8251748251748252,0.7972972972972973,0.855072463768116,0.9153501067189869,0.740231687051088
2,0.367044094712637,0.9994616356912129,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.9332584906234316,0.7341194679061331
3,0.2573631344338373,0.9994616356912129,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.9292654007412027,0.7268012163468464
4,0.1783525782640344,0.9994616356912129,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.9602652385080634,0.7308427285653011
5,0.12270055310258868,0.9994616356912129,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.9441493406743828,0.7299649903215737
6,0.08408822909354535,0.9994616356912129,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.9432702081653966,0.7350580012220609
7,0.05773086884055756,0.9992041571087495,0.7301587301587301,0.6216216216216216,0.8846153846153846,0.9414523731666389,0.7237651262802076
8,0.04008361181171378,0.9988764570947053,0.5555555555555556,0.40540540540540543,0.8823529411764706,0.8639686218294828,0.7191127565973713
9,0.028483688505632584,0.9986891999438229,0.44,0.2972972972972973,0.8461538461538461,0.8875960407509367,0.7205995857933446
10,0.02155372986689813,0.9983614999297785,0.10256410256410256,0.05405405405405406,1.0,0.8657786937190426,0.7224766912072859
11,0.017117960554137866,0.9982678713543374,0.0,0.0,0.0,0.8766186874832063,0.7199124668976539
12,0.013802847213312016,0.9982678713543374,0.0,0.0,0.0,0.9255660415621023,0.7225100359318842
13,0.012200886663643676,0.9982678713543374,0.0,0.0,0.0,0.9230905603127044,0.7251439987075711
14,0.011210380360190784,0.9982678713543374,0.0,0.0,0.0,0.9182506578046814,0.7300664763530679
15,0.010917476797035369,0.9982678713543374,0.0,0.0,0.0,0.912960494963168,0.7239024171310581
16,0.01072878856437593,0.9982678713543374,0.0,0.0,0.0,0.8988314777918042,0.7219970278706186
17,0.010682969590012683,0.9982678713543374,0.0,0.0,0.0,0.9014831340907594,0.7274350867821201
18,0.011418917431211541,0.9982678713543374,0.0,0.0,0.0,0.9626928736558731,0.7269005799389329
19,0.01158304262992208,0.9982678713543374,0.0,0.0,0.0,0.922355916693283,0.7404915151575452
20,0.01218227957545086,0.9982678713543374,0.0,0.0,0.0,0.8919503528570778,0.7211942211878828
