round,NormalFL_loss,NormalFL_f1,NormalFL_recall,NormalFL_precision,NormalFL_roc_auc,SignFlip_Attack_loss,SignFlip_Attack_f1,SignFlip_Attack_recall,SignFlip_Attack_precision,SignFlip_Attack_roc_auc,SignFlip_Defense_loss,SignFlip_Defense_f1,SignFlip_Defense_recall,SignFlip_Defense_precision,SignFlip_Defense_roc_auc,LabelFlip_Attack_loss,LabelFlip_Attack_f1,LabelFlip_Attack_recall,LabelFlip_Attack_precision,LabelFlip_Attack_roc_auc,LabelFlip_Defense_loss,LabelFlip_Defense_f1,LabelFlip_Defense_recall,LabelFlip_Defense_precision,LabelFlip_Defense_roc_auc
0,0.7654,0.0041,0.5676,0.002,0.5971,0.6674,0.001,0.0946,0.0005,0.1385,0.7969,0.0041,0.8108,0.0021,0.7325,0.7725,0.0048,0.8378,0.0024,0.7921,0.6637,0.0008,0.0946,0.0004,0.1322
1,0.6543,0.0084,0.8919,0.0042,0.9078,0.6612,0.0005,0.0541,0.0003,0.1061,0.6721,0.0066,0.8378,0.0033,0.8823,0.6404,0.009,0.8784,0.0045,0.8868,0.6427,0.0083,0.8784,0.0042,0.8981
2,0.5018,0.0319,0.8784,0.0163,0.9244,0.6602,0.0005,0.0541,0.0003,0.0915,0.532,0.0282,0.8514,0.0143,0.9147,0.5063,0.0583,0.8649,0.0302,0.9044,0.5195,0.0241,0.8649,0.0122,0.9243
3,0.4099,0.0765,0.8649,0.04,0.9357,0.6559,0.0005,0.0541,0.0003,0.0806,0.4379,0.0808,0.8514,0.0424,0.9201,0.4179,0.1518,0.8514,0.0833,0.9164,0.4215,0.0704,0.8649,0.0367,0.9287
4,0.3314,0.1148,0.8649,0.0615,0.9387,0.6509,0.0004,0.0405,0.0002,0.0747,0.3499,0.1349,0.8514,0.0733,0.9226,0.3394,0.2154,0.8514,0.1233,0.9224,0.3315,0.1194,0.8514,0.0642,0.931
5,0.288,0.1356,0.8514,0.0737,0.938,0.6388,0.0004,0.0405,0.0002,0.0712,0.298,0.1765,0.8514,0.0984,0.9223,0.2923,0.2716,0.8514,0.1615,0.9262,0.2829,0.1658,0.8514,0.0918,0.9304
6,0.2533,0.1733,0.8514,0.0965,0.9377,0.6321,0.0004,0.0405,0.0002,0.0646,0.263,0.2207,0.8514,0.1268,0.9225,0.2539,0.4092,0.8378,0.2707,0.9295,0.2498,0.2066,0.8514,0.1175,0.9291
7,0.2287,0.2128,0.8514,0.1216,0.9382,0.6265,0.0004,0.0405,0.0002,0.0683,0.2376,0.2757,0.8514,0.1645,0.9255,0.2254,0.5232,0.8378,0.3804,0.9319,0.2263,0.2598,0.8514,0.1533,0.9304
8,0.2153,0.1997,0.8514,0.1131,0.9375,0.6265,0.0004,0.0405,0.0002,0.071,0.2268,0.249,0.8514,0.1458,0.9259,0.2068,0.5662,0.8378,0.4276,0.9329,0.2167,0.2395,0.8514,0.1394,0.9291
9,0.1957,0.2107,0.8514,0.1202,0.9363,0.6202,0.0004,0.0405,0.0002,0.0739,0.2046,0.2675,0.8514,0.1587,0.9267,0.1881,0.5962,0.8378,0.4627,0.9327,0.196,0.2571,0.8514,0.1514,0.9288
10,0.1808,0.225,0.8514,0.1296,0.9345,0.6155,0.0006,0.0541,0.0003,0.0801,0.1892,0.2653,0.8514,0.1571,0.9261,0.1715,0.6458,0.8378,0.5254,0.9321,0.1818,0.2577,0.8514,0.1518,0.9279
11,0.1649,0.2437,0.8514,0.1422,0.9343,0.6034,0.0006,0.0541,0.0003,0.0823,0.171,0.2698,0.8514,0.1603,0.928,0.1555,0.7086,0.8378,0.6139,0.9338,0.1645,0.2664,0.8514,0.1579,0.9295
12,0.1533,0.251,0.8514,0.1472,0.9343,0.6011,0.0005,0.0405,0.0002,0.0826,0.1578,0.2917,0.8514,0.176,0.9272,0.1429,0.6813,0.8378,0.5741,0.9307,0.1521,0.2903,0.8514,0.175,0.9285
13,0.1431,0.2704,0.8514,0.1607,0.935,0.6061,0.0005,0.0405,0.0002,0.082,0.1462,0.3728,0.8514,0.2386,0.9289,0.1304,0.7381,0.8378,0.6596,0.934,0.141,0.3652,0.8514,0.2325,0.9292
14,0.1359,0.263,0.8514,0.1556,0.9343,0.6232,0.0006,0.0541,0.0003,0.0862,0.1387,0.3088,0.8514,0.1886,0.928,0.1232,0.6631,0.8378,0.5487,0.9332,0.134,0.3103,0.8514,0.1898,0.9283
15,0.1344,0.252,0.8514,0.1479,0.9336,0.6248,0.0006,0.0541,0.0003,0.0852,0.1394,0.271,0.8514,0.1611,0.9279,0.1174,0.6263,0.8378,0.5,0.9344,0.1349,0.2733,0.8514,0.1628,0.9284
16,0.1248,0.2692,0.8514,0.1599,0.9342,0.6306,0.0006,0.0541,0.0003,0.0844,0.1279,0.3231,0.8514,0.1994,0.9278,0.1098,0.6739,0.8378,0.5636,0.9336,0.1241,0.3223,0.8514,0.1987,0.9283
17,0.118,0.2739,0.8514,0.1632,0.9349,0.6464,0.0006,0.0541,0.0003,0.0872,0.119,0.3962,0.8514,0.2582,0.9279,0.103,0.6596,0.8378,0.5439,0.9349,0.1155,0.395,0.8514,0.2571,0.9284
18,0.1122,0.2775,0.8514,0.1658,0.9363,0.6429,0.0006,0.0541,0.0003,0.0878,0.1141,0.36,0.8514,0.2283,0.9305,0.0966,0.7045,0.8378,0.6078,0.9382,0.1108,0.3569,0.8514,0.2258,0.931
19,0.1086,0.2883,0.8514,0.1736,0.9368,0.6513,0.0006,0.0541,0.0003,0.0895,0.1118,0.3529,0.8514,0.2226,0.9312,0.0924,0.7006,0.8378,0.6019,0.9406,0.1088,0.352,0.8514,0.2218,0.9316
20,0.1014,0.3029,0.8514,0.1842,0.9362,0.6675,0.0006,0.0541,0.0003,0.0896,0.1063,0.3739,0.8514,0.2395,0.9308,0.0854,0.7607,0.8378,0.6966,0.94,0.1034,0.3728,0.8514,0.2386,0.931
