round,rejected_clients,w2_update_norm,w2_grad_norm_before,w1_update_norm,w1_grad_norm_before,w3_update_norm,w3_grad_norm_before
1.0,,0.3348,0.3348,0.3015,0.3015,1.5441,1.5441
2.0,,0.3644,0.3644,0.3404,0.3404,1.8619,1.8619
3.0,,0.4221,0.4221,0.4031,0.4031,2.1396,2.1396
4.0,,0.5033,0.5033,0.3883,0.3883,2.4387,2.4387
5.0,,0.5448,0.5448,0.4059,0.4059,2.6514,2.6514
6.0,,0.4931,0.4931,0.4797,0.4797,2.992,2.992
7.0,,0.6141,0.6141,0.4328,0.4328,2.9264,2.9264
8.0,,0.5858,0.5858,0.5482,0.5482,3.0178,3.0178
9.0,,0.6704,0.6704,0.4591,0.4591,2.5546,2.5546
10.0,,0.6148,0.6148,0.618,0.618,2.6998,2.6998
11.0,,0.5628,0.5628,0.538,0.538,2.9623,2.9623
12.0,,0.5492,0.5492,0.5909,0.5909,2.7183,2.7183
13.0,,0.6089,0.6089,0.4465,0.4465,2.7358,2.7358
14.0,,0.6263,0.6263,0.3695,0.3695,2.7836,2.7836
15.0,,0.5923,0.5923,0.4779,0.4779,2.6374,2.6374
16.0,,0.5693,0.5693,0.4978,0.4978,2.7565,2.7565
17.0,,0.5814,0.5814,0.5109,0.5109,3.0206,3.0206
18.0,,0.5953,0.5953,0.529,0.529,2.8137,2.8137
19.0,,0.6274,0.6274,0.5175,0.5175,2.8299,2.8299
20.0,,0.515,0.515,0.4771,0.4771,2.9184,2.9184
