round,rejected_clients,w3_update_norm,w3_grad_norm_before,w2_update_norm,w2_grad_norm_before,w1_update_norm,w1_grad_norm_before
1.0,w3,1.306,1.306,0.2945,0.2945,0.3784,0.3784
2.0,w3,1.5414,1.5414,0.3241,0.3241,0.4264,0.4264
3.0,w3,1.2308,1.2308,0.2682,0.2682,0.3337,0.3337
4.0,w3,1.1764,1.1764,0.219,0.219,0.3949,0.3949
5.0,w3,1.1191,1.1191,0.1794,0.1794,0.2249,0.2249
6.0,w3,0.8919,0.8919,0.1632,0.1632,0.2109,0.2109
7.0,w3,0.8473,0.8473,0.1473,0.1473,0.1659,0.1659
8.0,w3,0.7943,0.7943,0.1324,0.1324,0.1136,0.1136
9.0,w3,0.8463,0.8463,0.1312,0.1312,0.1716,0.1716
10.0,w3,0.6986,0.6986,0.1042,0.1042,0.1764,0.1764
11.0,w3,0.6787,0.6787,0.1103,0.1103,0.1961,0.1961
12.0,w3,0.7348,0.7348,0.1078,0.1078,0.2055,0.2055
13.0,w3,0.6272,0.6272,0.1192,0.1192,0.1131,0.1131
14.0,w3,0.704,0.704,0.1047,0.1047,0.1353,0.1353
15.0,w3,0.5777,0.5777,0.117,0.117,0.1128,0.1128
16.0,w3,0.5958,0.5958,0.1118,0.1118,0.221,0.221
17.0,w3,0.6786,0.6786,0.0968,0.0968,0.1806,0.1806
18.0,w3,0.6608,0.6608,0.0883,0.0883,0.1335,0.1335
19.0,w3,0.6914,0.6914,0.0898,0.0898,0.1096,0.1096
20.0,w3,0.6637,0.6637,0.1057,0.1057,0.1883,0.1883
