round,rejected_clients,w2_update_norm,w2_grad_norm_before,w1_update_norm,w1_grad_norm_before,w3_update_norm,w3_grad_norm_before
1.0,,0.3229,0.3229,0.3641,0.3641,0.3098,0.3098
2.0,,0.3723,0.3723,0.5219,0.5219,0.3392,0.3392
3.0,,0.2644,0.2644,0.3487,0.3487,0.2476,0.2476
4.0,,0.2135,0.2135,0.4023,0.4023,0.2231,0.2231
5.0,,0.1719,0.1719,0.2155,0.2155,0.2136,0.2136
6.0,,0.1618,0.1618,0.211,0.211,0.159,0.159
7.0,,0.1513,0.1513,0.1602,0.1602,0.1549,0.1549
8.0,,0.1314,0.1314,0.1111,0.1111,0.1457,0.1457
9.0,,0.1404,0.1404,0.1726,0.1726,0.1507,0.1507
10.0,,0.1119,0.1119,0.1764,0.1764,0.1281,0.1281
11.0,,0.1084,0.1084,0.2115,0.2115,0.1244,0.1244
12.0,,0.1086,0.1086,0.1988,0.1988,0.1328,0.1328
13.0,,0.1257,0.1257,0.112,0.112,0.1111,0.1111
14.0,,0.1192,0.1192,0.1388,0.1388,0.126,0.126
15.0,,0.1235,0.1235,0.1138,0.1138,0.1045,0.1045
16.0,,0.1166,0.1166,0.212,0.212,0.1057,0.1057
17.0,,0.0974,0.0974,0.1827,0.1827,0.1239,0.1239
18.0,,0.0874,0.0874,0.1507,0.1507,0.1167,0.1167
19.0,,0.0935,0.0935,0.1098,0.1098,0.1212,0.1212
20.0,,0.1085,0.1085,0.2099,0.2099,0.1211,0.1211
