round,normal_fl_loss,normal_fl_f1,normal_fl_recall,normal_fl_precision,normal_fl_roc_auc,normal_fl_pr_auc,sign_flip_no_defense_loss,sign_flip_no_defense_f1,sign_flip_no_defense_recall,sign_flip_no_defense_precision,sign_flip_no_defense_roc_auc,sign_flip_no_defense_pr_auc,sign_flip_defended_loss,sign_flip_defended_f1,sign_flip_defended_recall,sign_flip_defended_precision,sign_flip_defended_roc_auc,sign_flip_defended_pr_auc,scale_no_defense_loss,scale_no_defense_f1,scale_no_defense_recall,scale_no_defense_precision,scale_no_defense_roc_auc,scale_no_defense_pr_auc,scale_defended_loss,scale_defended_f1,scale_defended_recall,scale_defended_precision,scale_defended_roc_auc,scale_defended_pr_auc,label_flip_no_defense_loss,label_flip_no_defense_f1,label_flip_no_defense_recall,label_flip_no_defense_precision,label_flip_no_defense_roc_auc,label_flip_no_defense_pr_auc,label_flip_defended_loss,label_flip_defended_f1,label_flip_defended_recall,label_flip_defended_precision,label_flip_defended_roc_auc,label_flip_defended_pr_auc
0,0.7654,0.0041,0.5676,0.002,0.5971,0.0343,0.6674,0.001,0.0946,0.0005,0.1385,0.001,0.7969,0.0041,0.8108,0.0021,0.7325,0.2943,0.7989,0.0048,0.8108,0.0024,0.7996,0.2022,0.7738,0.0054,0.9324,0.0027,0.9143,0.3349,0.7725,0.0048,0.8378,0.0024,0.7921,0.1601,0.6637,0.0008,0.0946,0.0004,0.1322,0.001
1,0.6543,0.0084,0.8919,0.0042,0.9078,0.5378,0.6612,0.0005,0.0541,0.0003,0.1061,0.0009,0.6721,0.0066,0.8378,0.0033,0.8823,0.6906,0.5694,0.0148,0.8919,0.0075,0.9153,0.7385,0.5886,0.0123,0.8649,0.0062,0.9172,0.705,0.6404,0.009,0.8784,0.0045,0.8868,0.5914,0.6427,0.0083,0.8784,0.0042,0.8981,0.2993
2,0.5018,0.0319,0.8784,0.0163,0.9244,0.7233,0.6602,0.0005,0.0541,0.0003,0.0915,0.0009,0.532,0.0282,0.8514,0.0143,0.9147,0.7378,0.3927,0.0708,0.8649,0.0369,0.9352,0.7271,0.4485,0.059,0.8514,0.0306,0.9193,0.7582,0.5063,0.0583,0.8649,0.0302,0.9044,0.7333,0.5195,0.0241,0.8649,0.0122,0.9243,0.6623
3,0.4099,0.0765,0.8649,0.04,0.9357,0.7437,0.6559,0.0005,0.0541,0.0003,0.0806,0.0009,0.4379,0.0808,0.8514,0.0424,0.9201,0.7521,0.2971,0.1205,0.8649,0.0648,0.9459,0.7195,0.371,0.1046,0.8514,0.0557,0.9216,0.7607,0.4179,0.1518,0.8514,0.0833,0.9164,0.7517,0.4215,0.0704,0.8649,0.0367,0.9287,0.7263
4,0.3314,0.1148,0.8649,0.0615,0.9387,0.7155,0.6509,0.0004,0.0405,0.0002,0.0747,0.0009,0.3499,0.1349,0.8514,0.0733,0.9226,0.7336,0.2296,0.1409,0.8514,0.0768,0.9493,0.7203,0.2993,0.1505,0.8514,0.0826,0.9233,0.7376,0.3394,0.2154,0.8514,0.1233,0.9224,0.7498,0.3315,0.1194,0.8514,0.0642,0.931,0.7481
5,0.288,0.1356,0.8514,0.0737,0.938,0.7197,0.6388,0.0004,0.0405,0.0002,0.0712,0.0009,0.298,0.1765,0.8514,0.0984,0.9223,0.7362,0.1977,0.1422,0.8514,0.0776,0.9529,0.7183,0.2598,0.2049,0.8514,0.1165,0.9259,0.7388,0.2923,0.2716,0.8514,0.1615,0.9262,0.7531,0.2829,0.1658,0.8514,0.0918,0.9304,0.7434
6,0.2533,0.1733,0.8514,0.0965,0.9377,0.7224,0.6321,0.0004,0.0405,0.0002,0.0646,0.0009,0.263,0.2207,0.8514,0.1268,0.9225,0.7397,0.1701,0.2036,0.8514,0.1156,0.9529,0.7241,0.2316,0.2535,0.8514,0.1489,0.9252,0.725,0.2539,0.4092,0.8378,0.2707,0.9295,0.7547,0.2498,0.2066,0.8514,0.1175,0.9291,0.7246
7,0.2287,0.2128,0.8514,0.1216,0.9382,0.7234,0.6265,0.0004,0.0405,0.0002,0.0683,0.0009,0.2376,0.2757,0.8514,0.1645,0.9255,0.7229,0.1574,0.1975,0.8514,0.1117,0.9553,0.7273,0.2114,0.2806,0.8514,0.168,0.9271,0.7249,0.2254,0.5232,0.8378,0.3804,0.9319,0.7547,0.2263,0.2598,0.8514,0.1533,0.9304,0.7243
8,0.2153,0.1997,0.8514,0.1131,0.9375,0.7219,0.6265,0.0004,0.0405,0.0002,0.071,0.0009,0.2268,0.249,0.8514,0.1458,0.9259,0.7234,0.1548,0.1587,0.8514,0.0875,0.9582,0.7226,0.2042,0.2609,0.8514,0.154,0.9264,0.7269,0.2068,0.5662,0.8378,0.4276,0.9329,0.7457,0.2167,0.2395,0.8514,0.1394,0.9291,0.7242
9,0.1957,0.2107,0.8514,0.1202,0.9363,0.7212,0.6202,0.0004,0.0405,0.0002,0.0739,0.0009,0.2046,0.2675,0.8514,0.1587,0.9267,0.7239,0.1393,0.1705,0.8514,0.0947,0.9565,0.7203,0.1858,0.2698,0.8514,0.1603,0.9269,0.7273,0.1881,0.5962,0.8378,0.4627,0.9327,0.7424,0.196,0.2571,0.8514,0.1514,0.9288,0.7229
10,0.1808,0.225,0.8514,0.1296,0.9345,0.7211,0.6155,0.0006,0.0541,0.0003,0.0801,0.0009,0.1892,0.2653,0.8514,0.1571,0.9261,0.7239,0.1309,0.178,0.8514,0.0994,0.9537,0.7211,0.1734,0.2664,0.8514,0.1579,0.9263,0.7262,0.1715,0.6458,0.8378,0.5254,0.9321,0.7427,0.1818,0.2577,0.8514,0.1518,0.9279,0.7234
11,0.1649,0.2437,0.8514,0.1422,0.9343,0.7212,0.6034,0.0006,0.0541,0.0003,0.0823,0.0009,0.171,0.2698,0.8514,0.1603,0.928,0.7263,0.1184,0.2029,0.8514,0.1152,0.9544,0.7211,0.1576,0.2733,0.8514,0.1628,0.928,0.7259,0.1555,0.7086,0.8378,0.6139,0.9338,0.7433,0.1645,0.2664,0.8514,0.1579,0.9295,0.7237
12,0.1533,0.251,0.8514,0.1472,0.9343,0.7276,0.6011,0.0005,0.0405,0.0002,0.0826,0.0009,0.1578,0.2917,0.8514,0.176,0.9272,0.7353,0.113,0.2097,0.8514,0.1195,0.9543,0.73,0.1463,0.2993,0.8514,0.1816,0.9273,0.7374,0.1429,0.6813,0.8378,0.5741,0.9307,0.7418,0.1521,0.2903,0.8514,0.175,0.9285,0.7356
13,0.1431,0.2704,0.8514,0.1607,0.935,0.7306,0.6061,0.0005,0.0405,0.0002,0.082,0.0009,0.1462,0.3728,0.8514,0.2386,0.9289,0.7346,0.1061,0.236,0.8514,0.137,0.9546,0.7304,0.1359,0.3841,0.8514,0.248,0.9286,0.7347,0.1304,0.7381,0.8378,0.6596,0.934,0.7411,0.141,0.3652,0.8514,0.2325,0.9292,0.7347
14,0.1359,0.263,0.8514,0.1556,0.9343,0.7295,0.6232,0.0006,0.0541,0.0003,0.0862,0.0009,0.1387,0.3088,0.8514,0.1886,0.928,0.7347,0.1027,0.2308,0.8514,0.1335,0.9551,0.7289,0.1295,0.3158,0.8514,0.1938,0.9278,0.7345,0.1232,0.6631,0.8378,0.5487,0.9332,0.7348,0.134,0.3103,0.8514,0.1898,0.9283,0.7343
15,0.1344,0.252,0.8514,0.1479,0.9336,0.7307,0.6248,0.0006,0.0541,0.0003,0.0852,0.0009,0.1394,0.271,0.8514,0.1611,0.9279,0.731,0.1046,0.2,0.8514,0.1133,0.954,0.7239,0.1309,0.2745,0.8514,0.1636,0.9278,0.7308,0.1174,0.6263,0.8378,0.5,0.9344,0.7288,0.1349,0.2733,0.8514,0.1628,0.9284,0.7307
16,0.1248,0.2692,0.8514,0.1599,0.9342,0.731,0.6306,0.0006,0.0541,0.0003,0.0844,0.0009,0.1279,0.3231,0.8514,0.1994,0.9278,0.7373,0.0959,0.24,0.8514,0.1397,0.9539,0.7303,0.1205,0.329,0.8514,0.2039,0.9276,0.7376,0.1098,0.6739,0.8378,0.5636,0.9336,0.7285,0.1241,0.3223,0.8514,0.1987,0.9283,0.736
17,0.118,0.2739,0.8514,0.1632,0.9349,0.7313,0.6464,0.0006,0.0541,0.0003,0.0872,0.0009,0.119,0.3962,0.8514,0.2582,0.9279,0.7379,0.094,0.2342,0.8514,0.1358,0.9555,0.7276,0.1124,0.4038,0.8514,0.2647,0.9277,0.7381,0.103,0.6596,0.8378,0.5439,0.9349,0.7227,0.1155,0.395,0.8514,0.2571,0.9284,0.7383
18,0.1122,0.2775,0.8514,0.1658,0.9363,0.7334,0.6429,0.0006,0.0541,0.0003,0.0878,0.0009,0.1141,0.36,0.8514,0.2283,0.9305,0.7393,0.0897,0.2382,0.8514,0.1385,0.9567,0.7277,0.1081,0.3652,0.8514,0.2325,0.9303,0.7394,0.0966,0.7045,0.8378,0.6078,0.9382,0.7256,0.1108,0.3569,0.8514,0.2258,0.931,0.7392
19,0.1086,0.2883,0.8514,0.1736,0.9368,0.7356,0.6513,0.0006,0.0541,0.0003,0.0895,0.0009,0.1118,0.3529,0.8514,0.2226,0.9312,0.74,0.0873,0.2377,0.8514,0.1382,0.9545,0.7293,0.1063,0.3559,0.8514,0.225,0.9311,0.7402,0.0924,0.7006,0.8378,0.6019,0.9406,0.7271,0.1088,0.352,0.8514,0.2218,0.9316,0.7402
20,0.1014,0.3029,0.8514,0.1842,0.9362,0.737,0.6675,0.0006,0.0541,0.0003,0.0896,0.0009,0.1063,0.3739,0.8514,0.2395,0.9308,0.739,0.0809,0.2456,0.8514,0.1435,0.9544,0.7308,0.1014,0.3795,0.8514,0.2442,0.9307,0.7392,0.0854,0.7607,0.8378,0.6966,0.94,0.7289,0.1034,0.3728,0.8514,0.2386,0.931,0.7391
